"Sample","Latitude","Longitude","Date","Location","DBCA_Zone","Site","Depth","Observer","DBCA_Sanctuary","Year","Time","Status","Successful.count","Successful.length"
"JBMP1-1",-30.23186684,114.9987335,"20071016","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP1-2",-30.23186684,114.9987335,"20071016","Jurien Bay","Sanctuary","1","2","Neville Barrett","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP1-3",-30.23186684,114.9987335,"20071016","Jurien Bay","Sanctuary","1","2","Dave Lenel","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP1-4",-30.23186684,114.9987335,"20071016","Jurien Bay","Sanctuary","1","2","Dave Lenel","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP10-1",-30.26449966,114.9749985,"20071026","Jurien Bay","General Use","10","6","Neville Barrett","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP10-2",-30.26449966,114.9749985,"20071026","Jurien Bay","General Use","10","6","Neville Barrett","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP10-3",-30.26449966,114.9749985,"20071026","Jurien Bay","General Use","10","6","Dave Lenel","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP10-4",-30.26449966,114.9749985,"20071026","Jurien Bay","General Use","10","6","Dave Lenel","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP11-1",-30.19646645,114.9886017,"20071017","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2007,"11:00:00","Fished","Yes","Yes"
"JBMP11-2",-30.19646645,114.9886017,"20071017","Jurien Bay","General Use","11","4","Neville Barrett","North Head",2007,"11:00:00","Fished","Yes","Yes"
"JBMP11-3",-30.19646645,114.9886017,"20071017","Jurien Bay","General Use","11","4","Dave Lenel","North Head",2007,"11:00:00","Fished","Yes","Yes"
"JBMP11-4",-30.19646645,114.9886017,"20071017","Jurien Bay","General Use","11","4","Dave Lenel","North Head",2007,"11:00:00","Fished","Yes","Yes"
"JBMP12-1",-30.18136597,114.9929504,"20071017","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP12-2",-30.18136597,114.9929504,"20071017","Jurien Bay","General Use","12","2","Neville Barrett","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP12-3",-30.18136597,114.9929504,"20071017","Jurien Bay","General Use","12","2","Dave Lenel","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP12-4",-30.18136597,114.9929504,"20071017","Jurien Bay","General Use","12","2","Dave Lenel","Fisherman Islands",2007,"11:00:00","Fished","Yes","Yes"
"JBMP13-1",-30.22683334,114.993515,"20071023","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP13-2",-30.22683334,114.993515,"20071023","Jurien Bay","Sanctuary","13","4","Neville Barrett","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP13-3",-30.22683334,114.993515,"20071023","Jurien Bay","Sanctuary","13","4","Kev Crane","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP13-4",-30.22683334,114.993515,"20071023","Jurien Bay","Sanctuary","13","4","Mat Kertesz","North Head",2007,"11:00:00","No-take","Yes","Yes"
"JBMP14-1",-30.15686607,114.9954987,"20071019","Jurien Bay","SP Scientific Reference","14","2","Neville Barrett","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP14-2",-30.15686607,114.9954987,"20071019","Jurien Bay","SP Scientific Reference","14","2","Mat Kertesz","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP14-3",-30.15686607,114.9954987,"20071019","Jurien Bay","SP Scientific Reference","14","2","Dave Lenel","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP14-4",-30.15686607,114.9954987,"20071019","Jurien Bay","SP Scientific Reference","14","2","Kev Crane","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP15-1",-30.15678406,114.9668503,"20071017","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP15-2",-30.15678406,114.9668503,"20071017","Jurien Bay","SP Scientific Reference","15","5","Neville Barrett","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP15-3",-30.15678406,114.9668503,"20071017","Jurien Bay","SP Scientific Reference","15","5","Dave Lenel","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP15-4",-30.15678406,114.9668503,"20071017","Jurien Bay","SP Scientific Reference","15","5","Dave Lenel","Fisherman Islands",2007,"11:00:00","No-take","Yes","Yes"
"JBMP17-1",-30.75571632,115.1649704,"20071022","Jurien Bay","Sanctuary","17","3","Neville Barrett","Target Rock",2007,"11:00:00","No-take","Yes","Yes"
